IP Address;TTL;Hostname;MAC Address;MAC Vendor;Latency;Is Alive;Open Ports;Username;NIC Speed;Operating System;Serial Number;Model;Processor;Memory;% Free Mem;Time;Reliability;model;SNMP Description;SNMP Name;SNMP Location;SNMP Uptime;CustomSNMP;Switch/Port
192.168.1.154;128;MP-MISICEVOMP01;9C:5A:44:8D:B9:CE;Compal Information (Kunshan);1;True;;;;;;;;;;;;;;;;;;192.168.1.18 | Port10-MP1
192.168.1.158;128;BO-IVANA-PC;9C:5A:44:2A:FE:9F;Compal Information (Kunshan);0;True;;;;;;;;;;;;;;;;;;192.168.1.122 | Port11-BO
192.168.1.169;255;CANON92272D;84:BA:3B:92:27:2D;Canon ;0;True;"80;443";;;;;;;;;;;;Canon MF240 Series /P;MF240 Series;;0d 7h 8m 10s 160ms;Canon MF240 Series /P;192.168.1.25 | Slot0/6
192.168.1.161;128;KON-PREDRAG-PC;4C:CC:6A:CA:56:63;MicroStar INTL;1;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/26
192.168.1.168;128;EDITA-PC;D0:17:C2:97:FB:89;ASUSTek Computer ;1;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/7
192.168.1.164;128;DIR-EDE-NB;48:2A:E3:AA:F8:E6;Wistron InfoComm(Kunshan);2;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/34
192.168.1.167;128;KVA-ROBERT-NB;F4:A8:0D:02:0B:E3;"Wistron InfoComm(Kunshan)Co;Ltd.";1;True;;;;;;;;;;;;;;;;;;192.168.1.96 | Port9-NSS-R2
192.168.1.166;128;FIN-MILICA-PC;98:29:A6:9A:8F:99;Compal Information (Kunshan);1;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/24
192.168.1.157;255;MT CSS326-HODNIK;C4:AD:34:97:55:0E;Routerboardcom;0;True;80;;;;;;;;;;;;CSS326-24G-2S+ SwOS v2.13;MT CSS326-HODNIK;Akademija;64d 7h 49m 46s 700ms;CSS326-24G-2S+ SwOS v2.13;192.168.1.14 | DLink-HODNIK
192.168.1.173;64;HP5EAFAF;C8:5A:CF:5E:AF:AF;;1;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HP5EAFAF;;4d 2h 9m 57s 30ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.25 | Slot0/22
192.168.1.159;64;;00:C0:A2:06:E9:FF;Intermedium A/S;1;True;443;;;;;;;;;;;;;;;;;192.168.1.22 | Port10-DREWMAX
192.168.1.153;255;;00:80:F0:BE:8D:3C;Panasonic Communications;1;True;;;;;;;;;;;;;;;;;;192.168.1.20 | Port17
192.168.1.180;255;NPI7E719B;B4:B6:86:7E:71:9B;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5T2NB;FN:1M97030;SVCID:28260;PID:Finansije / Akademija";NPI7E719B;Finansije / Akademija;2d 6h 2m 9s 130ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5T2NB;FN:1M97030;SVCID:28260;PID:Finansije / Akademija";192.168.1.25 | Slot0/31
192.168.1.183;255;IT-HP-PR;10:62:E5:5F:B4:C3;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL6W7ZR;FN:1M98135;SVCID:29041;PID:IT SECTOR";IT-HP-PR;IT Sector;7d 0h 34m 28s 520ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL6W7ZR;FN:1M98135;SVCID:29041;PID:IT SECTOR";192.168.1.96 | Port17-ITkanc
